
Traffic rule	MTL Representation	Legal Reference	Note
	Alternate:G(yield(ego,other)) -> (turn_left(ego) & (turn_right(other) | oncoming_lane(other)) & ~traffic_light(ego))		
if ego vehicle is turning left and there is no relevent traffic light for the ego and other vehicle is going to turn right or going straight and other vehicle is onto the oncoming lane of ego then in this case ego shall yield to other vehicle.	G((turning_left(ego) & ~traffic_light(ego) & going_right_or_straight(other) & oncoming_lane(other, ego)) -> yield(ego, other))	StVO: § 9 (4)	
At intersections and junctions ego must yield to the other vehicles coming from right side of ego.	G((at_intersection(ego) | at_junction(ego)) & right_of(other,ego)-> yield(ego,other))	StVO: § 8	
ego vehicle will not exceed the speed limit of the lane it is driving on and it will not exceed the maximum velocity allowed for its vehicle type and ego will not exceed the speed limit such that it can no longer react to traffic regulations and restrictions.	G(keep_lane_speed_limit(ego) & keep_vehicle_type_limit(ego) & keep_braking_speed_limit(ego))	VcCoRT: Article 13(5)	
At intersections if there is another vehicle in right of ego then ego must yield to other vehicle, provided there is no traffic sign number 306 in front of ego.	G((at_intersection(ego) & right_of(other,ego) )->( yield(ego, other) & ~at_traffic_sign(ego, 306)))	StVO: § 8	
If ego vehicle wants to overtake the other vehicle then it should use turn signals beforehand for t seconds.	G(overtake(ego,other)-> P[0,t]turn_signal(ego))		
At intersections and junctions if there is another vehicle in right of ego and there is no traffic light in front of ego then ego must yield to other vehicle, provided there is no traffic sign number 206 in front of ego.	G(at_intersection(ego) & right_of(other,ego)&~in_front_of(ego, sign_206)-> (yield(ego,other) ))	StVO: § 8	
At intersections and junctions ego must yield to the other vehicles coming from right side of ego.	G(at_intersection(ego) & right_of(other,ego) -> (yield(ego,other)))	StVO: § 8	
At intersections without stop or yield signs, yield to other traffic participants already in the intersection or just entering the intersection.	"G(at_intersection(ego) & ~traffic_sign(ego,stop) & ~traffic_sign(ego,yield) ->
  (P[0,t]in_intersection(traffic) ->
  yield(ego,other)))"	DMV:page 47 (intersection)	
At intersections without stop or yield signs, yield to the vehicle on your right if it reaches the intersection at the same time as you.	"G(at_intersection(ego) & at_intersection(other) ~traffic_sign(ego,stop) & ~traffic_sign(ego,yield) ->
  (P[0,t]in_intersection(traffic) ->
  yield(ego,other)))"""	DMV:page 47 (intersection)	
During overtaking, a sufficient lateral distance must be kept from other road users, particularly pedestrians and pedal cyclists.	same as safe distance rule mentioned above, only ist for pedestrian and earlier it was just denoted with other	stvo §5(4)	
at the intersection where the stop sign is placed, ego shall stop before entering the  intersection and give way to vehicles on the road they are approaching.	G((at_intersection(ego) & traffic_sign(ego, stop)) ->(yield(ego,other)))	VCoRT: Article 10	logic need to know what does it mean by approaching
ego vehicle is on the road and there is a continuous line present on the road, then the ego vehicle must not cross or straddle the continuous line.	G(lane_marking(ego,solidLine) -> ~crossing_line(ego) & ~straddle_line(ego))	stvo: Annex 1(69)(1)	
If traffic is moving slowly, vehicles must not enter an intersection or junction, even if they have the right of way or the traffic lights are green, if by doing so they would be forced to wait there.	"G((at_congestion(ego) & (~yield(ego,other) | traffic_sign(ego,green))) ->
  ~in_intersection(ego))"	stvo: §11(1)	
At intersections with traffic lights, drivers must stop at a red light and may proceed at a green light.	G((at_intersection(ego) & traffic_light(ego,red) ->F(stop(ego))) ∧ (traffic_light(ego,green) -> F(proceed(ego))))		
"At ‘T’ intersections without ‘STOP’ or ‘YIELD’
signs, yield to traffic and pedestrians on the through
road. They have the right-of-way"		DMV:page 47 (T)-Intersection	
